time,az (m/s^2)
1.396572,0.2732
1.397839,0.278
1.400746,0.01
1.402404,-0.1336
1.410362,0.0579
1.410831,0.2135
1.411109,0.0077
1.41277,-0.0761
1.416376,0.0794
1.41817,0.2039
1.421632,0.0268
1.422054,-0.0833
1.431102,0.1057
1.431591,0.2971
1.43187,0.1177
1.432109,-0.0666
1.435588,0.0028
1.437796,0.2062
1.445535,0.0507
1.446138,-0.112
1.446598,0.0124
1.447165,0.3043
1.449958,0.2804
1.452838,0.01
1.455822,-0.0163
1.456406,0.1512
1.460547,0.0651
1.461208,-0.179
1.465703,-0.1216
1.466604,0.1943
1.469956,0.2469
1.472522,0.0268
1.478204,-0.0355
1.478791,0.2086
1.4792,0.2565
1.48151,0.0028
1.484812,-0.0738
1.485658,0.1129
1.488312,0.223
1.493398,0.0172
1.493996,-0.0881
1.495352,0.0698
1.499141,0.2684
1.501477,0.1129
1.503275,0.0003
1.504955,0.1702
1.509997,0.2732
1.510581,0.053
1.513757,-0.1863
1.514782,-0.0834
1.520346,0.1464
1.520991,0.0842
1.523849,-0.0522
1.524375,0.1009
1.531847,0.3497
1.532435,0.2445
1.532904,-0.014
1.535565,-0.0547
1.538653,0.0698
1.542893,0.0316
1.543282,-0.136
1.547987,-0.0737
1.548396,0.2254
1.548703,0.2493
1.552726,0.0339
1.553877,-0.0188
1.560287,0.1846
1.561591,0.1655
1.562204,-0.1073
1.562705,-0.1193
1.566655,0.1463
1.567856,0.3043
1.570357,0.1248
1.575783,0.0195
1.57674,0.1726
1.577773,0.2516
1.581305,0.0315
1.58226,-0.1025
1.586991,0.0315
1.587712,0.211
1.592355,0.0531
1.593359,-0.1169
1.596366,-0.0331
1.596968,0.144
1.60094,0.0674
1.602993,-0.0594
1.605535,0.1511
1.608411,0.3952
1.615525,0.2804
1.616043,-0.0355
1.616384,-0.1001
1.616769,0.0866
1.620168,0.0148
1.622725,-0.0857
1.626603,-0.0092
1.627084,0.3019
1.631567,0.3402
1.632054,0.1033
1.636247,-0.0187
1.636644,0.0698
1.639044,0.0651
1.642831,-0.1957
1.644328,-0.2221
1.649154,0.1081
1.649558,0.2924
1.650519,0.1273
1.653974,0.0626
1.6564,0.2253
1.658569,0.2756
1.66215,0.0363
1.663032,-0.1814
1.665208,-0.0235
1.668439,0.1416
1.669963,0.0579
1.674464,-0.0283
1.675094,0.1488
1.679861,0.3211
1.680172,0.144
1.684234,-0.1073
1.684537,-0.0522
1.688321,0.1297
1.690316,0.022
1.693345,-0.1216
1.695372,0.0195
1.698157,0.3067
1.699631,0.2732
1.703449,0.0458
1.703906,0.0267
1.709054,0.1966
1.709478,0.1225
1.712966,-0.0738
1.715423,-0.0738
1.718117,0.1679
1.718641,0.1608
1.722809,-0.0474
1.723312,-0.0929
1.726981,0.1799
1.729058,0.2684
1.731494,0.0291
1.733124,-0.0786
1.737041,0.132
1.738896,0.2205
1.74344,0.0171
1.743849,-0.0666
1.746502,0.0578
1.74847,0.1655
1.750889,-0.002
1.753033,-0.1288
1.756807,0.1152
1.757376,0.3186
1.765081,0.2397
1.765534,0.0315
1.765846,0.0602
1.768029,0.1799
1.771747,-0.0067
1.772211,-0.2293
1.776329,-0.148
1.77738,0.1129
1.781017,0.01
1.783273,-0.0905
1.784463,0.0195
1.786638,0.1847
1.790527,0.223
1.793588,0.0961
1.794331,-0.0882
1.801586,0.2301
1.802161,0.2876
